TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-09,2026-09-09,CM,NSE,STK,17598,INE073G01016,ASALCBR,EQ,,,,,ASSO ALCOHOLS & BREW LTD,698.5,698.5,680.05,686.7,698.5,696.15,,686.67,,,26427,18260133.5,2102,F1,1,,,,,,Cash Only,Unclassified,False,688.4166666666666,689.275,687.5583333333333,689.275,687.5583333333333,1.716666666666697,0.24998786466676812,Narrow,Bearish,Below CPR,False,True,0.38333333333333336,60,19702747.049999997,Lower,True,Risk Off,False,15.667857142857153,763.659,809.673,0.10956614239039773,0.9267810957355819,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,25634,INE122M01019,ESSARSHPNG,EQ,,,,,ESSAR SHIPPING LTD,16.12,16.24,15.96,16.04,16.12,16.05,,16.04,,,176001,2825251.07,882,F1,1,,,,,,Cash Only,Unclassified,False,16.080000000000002,16.1,16.060000000000002,16.1,16.060000000000002,0.03999999999999915,0.24937655860348598,Narrow,Bearish,Below CPR,False,True,0.31666666666666665,60,2861181.775,Lower,True,Risk Off,False,0.9714285714285704,19.2072,21.8744,0.04117647058823446,0.9874420054978855,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,756015,INE345H01024,CIFL,EQ,,,,,CAPITAL INDIA FINANCE LTD,20.49,20.49,19.9,20.12,19.98,20.16,,20.12,,,95857,1928913.37,637,F1,1,,,,,,Cash Only,Unclassified,False,20.17,20.195,20.145000000000003,20.195,20.145000000000003,0.04999999999999716,0.24850894632205348,Narrow,Bearish,Below CPR,False,True,0.11666666666666667,60,1672810.885,Lower,True,Risk Off,True,0.9335714285714288,21.152800000000003,23.611299999999996,0.05355776587604897,1.1530970938176315,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,18391,INE976G01028,RBLBANK,EQ,,,,,RBL BANK LIMITED,415.3,420.4,414.7,416.0,416.0,418.5,,416.0,,,3908840,1633237686.0,44022,F1,1,,,,,,F&O + Cash,Financial Services,True,417.0333333333333,417.54999999999995,416.51666666666665,417.54999999999995,416.51666666666665,1.033333333333303,0.2483974358974286,Narrow,Bearish,Below CPR,False,True,0.31666666666666665,60,1461522027.425,Inside,True,Risk Off,False,8.732142857142849,380.51800000000003,362.76550000000003,0.11833674164962173,1.117490982245091,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,219.0,220.99,216.75,218.06,217.11,219.28,,218.05,,,78133,17080632.97,2651,F1,1,,,,,,Cash Only,Unclassified,False,218.6,218.87,218.32999999999998,218.87,218.32999999999998,0.5400000000000205,0.24763826469779898,Narrow,Bearish,Below CPR,False,True,0.26666666666666666,60,31071195.854999997,Lower,True,Risk Off,False,9.882142857142856,203.52540000000002,193.80360000000002,0.054644018792918594,0.5497256381669446,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,11705,INE692G01013,XCHANGING,EQ,,,,,XCHANGING SOLUTIONS LTD,64.12,64.99,62.04,63.28,64.73,64.08,,63.18,,,78595,4935381.14,1004,F1,1,,,,,,Cash Only,Unclassified,False,63.43666666666667,63.515,63.358333333333334,63.515,63.358333333333334,0.1566666666666663,0.24757690686894165,Narrow,Bearish,Below CPR,False,True,0.36666666666666664,60,4930684.05,Lower,True,Risk Off,False,1.6235714285714262,64.0912,64.71860000000001,0.09649508725619584,1.0009526244132394,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,763663,INE763M01028,MERCURYEV,EQ,,,,,MERCURY EV-TECH LIMITED,38.94,38.94,37.0,37.83,37.99,38.38,,37.81,,,463042,17653298.34,1803,F1,1,,,,,,Cash Only,Unclassified,False,37.92333333333333,37.97,37.876666666666665,37.97,37.876666666666665,0.09333333333333371,0.2467177724909694,Narrow,Bearish,Below CPR,False,True,0.24242424242424243,33,4864700.38,Inside,True,Risk Off,True,2.3314285714285714,,,0.040032679738562255,3.6288562421186565,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,13376,INE786F01031,UTTAMSUGAR,EQ,,,,,UTTAM SUGAR MILLS LTD.,287.4,290.0,279.6,283.75,284.5,287.55,,283.67,,,213906,60560614.15,4680,F1,1,,,,,,Cash Only,Unclassified,False,284.45,284.8,284.09999999999997,284.8,284.09999999999997,0.7000000000000455,0.24669603524230677,Narrow,Bearish,Below CPR,False,True,0.15,60,26633571.78,Lower,True,Risk Off,True,19.444999999999993,261.861,252.4852,0.035998971457960695,2.273845004727338,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,14299,INE134E01011,PFC,EQ,,,,,POWER FIN CORP LTD.,354.35,355.3,350.1,351.4,351.4,355.9,,351.39,,,5426791,1913388436.9,59546,F1,1,,,,,,F&O + Cash,Financial Services,True,352.2666666666667,352.70000000000005,351.83333333333337,352.70000000000005,351.83333333333337,0.8666666666666742,0.2466325175488544,Narrow,Bearish,Below CPR,False,True,0.38333333333333336,60,2499385352.575,Lower,True,Risk Off,False,7.846428571428561,390.986,415.815,0.1104536489151885,0.7655435905186551,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,2124,INE759A01021,MASTEK,EQ,,,,,MASTEK LTD,1654.0,1654.0,1605.0,1623.5,1626.0,1654.2,,1623.56,,,133390,216268716.3,13601,F1,1,,,,,,Cash Only,Unclassified,False,1627.5,1629.5,1625.5,1629.5,1625.5,4.0,0.24638127502309826,Narrow,Bearish,Below CPR,False,True,0.18333333333333332,60,138378253.64999998,Lower,True,Risk Off,True,87.15000000000006,1745.44,1693.714,0.045897877223178396,1.5628808038509312,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,11355,INE877F01012,PTC,EQ,,,,,PTC INDIA LIMITED,153.91,154.59,152.78,153.12,153.39,154.2,,153.14,,,1062150,162982904.46,16341,F1,1,,,,,,Cash Only,Unclassified,False,153.49666666666667,153.685,153.30833333333334,153.685,153.30833333333334,0.37666666666666515,0.24599442702890878,Narrow,Bearish,Below CPR,False,True,0.36666666666666664,60,143779490.965,Lower,True,Risk Off,False,2.9357142857142873,167.51600000000002,181.2288,0.1283049472830489,1.1335615626826405,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,13710,INE737H01014,FIEMIND,EQ,,,,,FIEM INDUSTRIES LIMITED,2045.0,2048.6,2009.4,2021.6,2025.0,2038.2,,2021.56,,,52069,105565421.1,7492,F1,1,,,,,,Cash Only,Unclassified,False,2026.5333333333335,2029.0,2024.066666666667,2029.0,2024.066666666667,4.933333333332939,0.24403113045770378,Narrow,Bearish,Below CPR,False,True,0.2833333333333333,60,103591765.55000001,Lower,True,Risk Off,False,51.95000000000003,2264.6659999999997,2257.455,0.09496310555020089,1.0190522435786402,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,765130,INE154B01023,MOHITE,EQ,,,,,MOHITE INDUSTRIES LTD.,2.78,2.84,2.66,2.74,2.76,2.71,,2.73,,,90916,248880.44,117,F1,1,,,,,,Cash Only,Unclassified,False,2.7466666666666666,2.75,2.743333333333333,2.75,2.743333333333333,0.006666666666666821,0.2433090024330956,Narrow,Bearish,Below CPR,False,True,0.2222222222222222,18,135563.79,Inside,False,Risk Off,False,0.24499999999999988,,,0.027210884353742137,1.8358917230036131,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,20302,INE811K01011,PRESTIGE,EQ,,,,,PRESTIGE ESTATE LTD,1554.2,1557.9,1534.1,1540.4,1540.4,1561.6,,1540.4,,,499802,773270812.2,16188,F1,1,,,,,,F&O + Cash,Realty,True,1544.1333333333332,1546.0,1542.2666666666664,1546.0,1542.2666666666664,3.733333333333576,0.24236129143946872,Narrow,Bearish,Below CPR,False,True,0.18333333333333332,60,1090704404.0,Lower,True,Risk Off,True,50.41428571428571,1627.376,1526.125,0.07405308397091254,0.7089646006416969,False,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-09,2026-09-09,CM,NSE,STK,13648,INE187D01029,TALBROAUTO,EQ,,,,,TALBROS AUTO. COMP. LTD,420.1,426.9,417.05,420.45,420.0,424.0,,420.44,,,106061,44600646.65,3634,F1,1,,,,,,Cash Only,Unclassified,False,421.4666666666667,421.975,420.95833333333337,421.975,420.95833333333337,1.0166666666666515,0.24180441590359175,Narrow,Bearish,Below CPR,False,True,0.25,60,59648602.975,Lower,True,Risk Off,True,14.596428571428573,411.75699999999995,376.95759999999996,0.06965174129353129,0.7477232395315793,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
