TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-08-14,2026-08-14,CM,NSE,STK,11359,INE680A01011,DHANBANK,EQ,,,,,DHANLAXMI BANK LIMITED,32.4,32.5,32.17,32.34,32.23,32.26,,32.34,,,463383,14988703.93,1479,F1,1,,,,,,Cash Only,Unclassified,False,32.336666666666666,32.335,32.33833333333333,32.33833333333333,32.335,0.0033333333333303017,0.010307153164286646,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,43975995.575,Inside,True,Risk Off,True,1.2064285714285712,33.2616,31.0,0.0027629761199895932,0.3408383081273766,False,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,24445,INE976R01033,AGIIL,EQ,,,,,AGI INFRA LIMITED,300.0,304.9,298.8,301.9,300.5,297.9,,301.89,,,2533929,765206373.35,16522,F1,1,,,,,,Cash Only,Unclassified,False,301.8666666666667,301.85,301.8833333333333,301.8833333333333,301.85,0.03333333333330302,0.011041183614873475,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,710318139.45,Higher,True,Risk Off,True,9.753571428571433,338.585,347.99799999999993,0.0034175515684089493,1.0772727470292396,False,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,4471,INE579B01039,ELPROINTL,EQ,,,,,ELPRO INTERNATIONAL LTD,174.02,175.62,174.02,174.85,175.0,174.73,,174.85,,,6400,1118261.88,127,F1,1,,,,,,Cash Only,Unclassified,False,174.83,174.82,174.84000000000003,174.84000000000003,174.82,0.020000000000038654,0.011438375750665516,Narrow,Bullish,Above CPR,True,False,0.08333333333333333,60,7505934.845000001,Higher,True,Risk Off,True,3.0800000000000045,173.4704,,0.006493506493519034,0.14898369131793335,True,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,17881,INE950I01011,DBCORP,EQ,,,,,D.B.CORP LTD,212.88,212.88,210.0,211.48,212.15,210.9,,211.48,,,68092,14416834.76,2058,F1,1,,,,,,Cash Only,Unclassified,False,211.45333333333335,211.44,211.4666666666667,211.4666666666667,211.44,0.026666666666699257,0.012609545425902808,Narrow,Bullish,Above CPR,True,False,0.05,60,16556212.59,Inside,True,Risk Off,True,4.027142857142855,205.5038,207.8752,0.006621733475235718,0.8707809640417283,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,20321,INE274V01019,SHANKARA,EQ,,,,,SHANKARA BLDG PRODUCT LTD,140.51,141.51,140.51,141.04,141.01,141.39,,141.04,,,23699,3342393.89,377,F1,1,,,,,,Cash Only,Unclassified,False,141.01999999999998,141.01,141.02999999999997,141.02999999999997,141.01,0.01999999999998181,0.014180374361870259,Narrow,Bullish,Above CPR,True,False,0.08333333333333333,60,10993042.86,Lower,True,Risk Off,True,3.0257142857142867,122.7836,116.18039999999999,0.006610009442864619,0.30404628932739375,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,6596,INE269A01021,SONATSOFTW,EQ,,,,,SONATA SOFTWARE LTD,327.0,333.0,318.65,325.9,326.9,326.4,,325.9,,,599961,194790013.3,15717,F1,1,,,,,,Cash Only,Information Technology,True,325.84999999999997,325.825,325.87499999999994,325.87499999999994,325.825,0.049999999999954525,0.015342129487558922,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,279661303.2,Inside,True,Risk Off,True,17.707142857142856,296.615,277.04740000000004,0.0028237192416271217,0.6965211528056701,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,25270,INE377Y01014,BAJAJHFL,EQ,,,,,BAJAJ HOUSING FINANCE LTD,84.5,84.57,84.05,84.33,84.4,84.37,,84.33,,,1348710,113702881.87,13364,F1,1,,,,,,Cash Only,Financial Services,True,84.31666666666666,84.31,84.32333333333332,84.32333333333332,84.31,0.013333333333321207,0.015810901616650313,Narrow,Bullish,Above CPR,True,False,0.05,60,273705424.03,Lower,True,Risk Off,True,1.277142857142859,86.37380000000002,85.4825,0.010439970171504286,0.41542063798318224,False,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,715,INE492A01029,SUDARCOLOR,EQ,,,,,SUDARSHAN COLORNT IND LTD,423.45,423.45,403.15,413.4,406.25,407.35,,412.74,,,6791,2768779.9,315,F1,1,,,,,,Cash Only,Unclassified,False,413.3333333333333,413.29999999999995,413.3666666666667,413.3666666666667,413.29999999999995,0.06666666666671972,0.01612643122078368,Narrow,Bullish,Above CPR,True,False,0.03333333333333333,60,2284887.775,Higher,True,Risk Off,True,17.81428571428571,370.40200000000004,357.0060000000001,0.0037423148890700737,1.2117793837817703,True,True,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,1375,INE549A01026,HCC,EQ,,,,,HINDUSTAN CONSTRUCTION CO,19.7,20.0,19.63,19.82,19.86,20.07,,19.82,,,10947392,217130611.09,14258,F1,1,,,,,,Cash Only,Unclassified,False,19.816666666666666,19.814999999999998,19.818333333333335,19.818333333333335,19.814999999999998,0.003333333333337407,0.01681802892703031,Narrow,Bullish,Above CPR,True,False,0.016666666666666666,60,606087353.8199999,Lower,True,Risk Off,True,0.6371428571428568,23.266,21.546300000000002,0.005231689088197727,0.3582496973769312,False,False,No setup,0,0,0,0
2026-08-14,2026-08-14,CM,NSE,STK,4344,INE277B01014,PUNJABCHEM,EQ,,,,,PUNJAB CHEM & CROP PROT L,1093.6,1104.9,1084.1,1094.8,1097.0,1094.2,,1094.92,,,2111,2307842.8,445,F1,1,,,,,,Cash Only,Unclassified,False,1094.6000000000001,1094.5,1094.7000000000003,1094.7000000000003,1094.5,0.20000000000027285,0.018268176835976695,Narrow,Bullish,Above CPR,True,False,0.05,60,10660965.8,Higher,True,Risk Off,True,42.628571428571476,1086.016,1059.4395,0.004691689008049291,0.2164759594294918,True,True,No setup,0,-2,0,-2
