TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-07,2026-09-07,CM,NSE,STK,15239,INE865C01022,BIRLAMONEY,EQ,,,,,ADITYA BIRLA MONEY LTD,127.85,127.85,125.01,125.96,125.8,126.37,,125.96,,,24407,3072251.75,543,F1,1,,,,,,Cash Only,Unclassified,False,126.27333333333333,126.43,126.11666666666665,126.43,126.11666666666665,0.313333333333361,0.24875621890549462,Narrow,Bearish,Below CPR,False,True,0.23333333333333334,60,5786136.895,Outside,True,Risk Off,True,3.777857142857139,134.469,137.6291,0.08293943404551066,0.5309676915274574,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,-2,0,-2
2026-09-07,2026-09-07,CM,NSE,STK,13870,INE529I01021,KUANTUM,EQ,,,,,KUANTUM PAPERS LIMITED,75.03,80.06,73.91,76.7,77.48,74.18,,76.7,,,296520,23068796.04,3035,F1,1,,,,,,Cash Only,Unclassified,False,76.89,76.985,76.795,76.985,76.795,0.18999999999999773,0.24771838331160068,Narrow,Bearish,Below CPR,False,True,0.31666666666666665,60,6424763.605,Higher,True,Risk Off,False,2.8985714285714304,77.1644,77.513,0.06554953178905783,3.590606200988775,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,40,INE208C01025,AEGISLOG,EQ,,,,,AEGIS LOGISTICS LIMITED,1274.6,1278.7,1238.0,1253.7,1264.0,1270.2,,1253.69,,,378402,476048101.6,26363,F1,1,,,,,,Cash Only,Oil Gas & Consumable Fuels,True,1256.8,1258.35,1255.25,1258.35,1255.25,3.099999999999909,0.2472680864640591,Narrow,Bearish,Below CPR,False,True,0.16666666666666666,60,1718287923.15,Lower,True,Risk Off,True,58.31428571428577,1309.261,1052.146,0.05316021558059614,0.2770479238003949,False,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,1038,INE235A01022,FINCABLES,EQ,,,,,FINOLEX CABLES LTD,1212.0,1252.0,1211.1,1227.0,1225.0,1220.2,,1227.0,,,732032,899260547.0,39361,F1,1,,,,,,Cash Only,Capital Goods,True,1230.0333333333333,1231.55,1228.5166666666667,1231.55,1228.5166666666667,3.033333333333303,0.24721543058951126,Narrow,Bearish,Below CPR,False,True,0.26666666666666666,60,442249337.45,Inside,True,Risk Off,False,53.27857142857143,1127.575,1089.5125,0.0569334584618129,2.0333790711482274,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,14838,INE583C01021,DECCANCE,EQ,,,,,DECCAN CEMENTS LIMITED,569.9,583.45,567.1,573.15,570.3,569.75,,573.15,,,23294,13388351.8,717,F1,1,,,,,,Cash Only,Unclassified,False,574.5666666666667,575.2750000000001,573.8583333333333,575.2750000000001,573.8583333333333,1.4166666666667425,0.24717206083341928,Narrow,Bearish,Below CPR,False,True,0.38333333333333336,60,7894195.800000001,Higher,True,Risk Off,False,17.553571428571427,564.883,591.1095,0.08070532383859368,1.6959741231652754,True,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,4055,INE922B01023,PANACEABIO,EQ,,,,,PANACEA BIOTEC LTD,378.55,383.0,376.6,378.4,379.3,381.25,,378.42,,,45995,17450341.35,1897,F1,1,,,,,,Cash Only,Unclassified,False,379.3333333333333,379.8,378.8666666666666,379.8,378.8666666666666,0.933333333333394,0.24665257223398362,Narrow,Bearish,Below CPR,False,True,0.16666666666666666,60,82280040.675,Lower,True,Risk Off,True,13.42857142857142,452.1,446.807,0.06950354609929534,0.21208474384361992,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,-2,0,-2
2026-09-07,2026-09-07,CM,NSE,STK,10557,INE278M01019,NAVKARCORP,EQ,,,,,NAVKAR CORPORATION LTD.,96.24,97.37,95.38,96.02,96.01,96.24,,96.03,,,104141,10014309.04,1835,F1,1,,,,,,Cash Only,Unclassified,False,96.25666666666666,96.375,96.13833333333332,96.375,96.13833333333332,0.2366666666666788,0.24647642852184837,Narrow,Bearish,Below CPR,False,True,0.36666666666666664,60,37128928.785,Lower,True,Risk Off,False,2.1235714285714287,102.27679999999998,101.49549999999999,0.11144747168965702,0.2697171549976351,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,1923,INE658T01017,WEALTH,EQ,,,,,WEALTH FRST PORT. MG. LTD,841.7,852.7,832.0,839.25,844.95,841.7,,839.25,,,1513,1272797.15,151,F1,1,,,,,,Cash Only,Unclassified,False,841.3166666666666,842.35,840.2833333333332,842.35,840.2833333333332,2.0666666666668334,0.24625161354385863,Narrow,Bearish,Below CPR,False,True,0.43333333333333335,60,1694320.775,Outside,True,Risk Off,False,22.100000000000023,921.163,930.002,0.09351432880845391,0.751213801294504,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,764763,INE938C01019,LAKSHMIMIL,EQ,,,,,LAKSHMI MILLS CO. LTD.,7671.5,7900.0,7625.0,7734.0,7900.0,7621.0,,7793.68,,,22,170197.0,14,F1,1,,,,,,Cash Only,Unclassified,False,7753.0,7762.5,7743.5,7762.5,7743.5,19.0,0.24566847685544352,Narrow,Bearish,Below CPR,False,True,0.2,15,224783.0,Higher,False,Risk Off,False,318.7857142857143,,,0.05960116513555904,0.7571613511697949,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-07,2026-09-07,CM,NSE,STK,14607,INE797H01018,TGBHOTELS,EQ,,,,,TGB BANQUETS&HOTELS LTD,9.48,9.89,9.3,9.56,9.59,9.48,,9.53,,,4414,41864.02,93,F1,1,,,,,,Cash Only,Unclassified,False,9.583333333333334,9.595,9.571666666666667,9.595,9.571666666666667,0.023333333333333428,0.2440725244072534,Narrow,Bearish,Below CPR,False,True,0.2,60,137039.78,Inside,True,Risk Off,True,0.6892857142857143,9.1838,9.2443,0.033851468048359375,0.30548808528443344,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
