TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-16,2026-09-16,CM,NSE,STK,23647,INE185E01021,FILATFASH,EQ,,,,,FILATEX FASHIONS LIMITED,0.18,0.19,0.18,0.18,0.19,0.18,,0.18,,,11830382,2177454.41,1583,F1,1,,,,,,Cash Only,Unclassified,False,0.18333333333333335,0.185,0.1816666666666667,0.185,0.1816666666666667,0.0033333333333332993,1.851851851851833,Wide,Bearish,Below CPR,False,False,0.5833333333333334,60,10109487.649999999,Inside,True,Risk Off,False,0.011428571428571436,0.18,0.23070000000000002,0.2916666666666635,0.21538721697731145,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,1,1,2
2026-09-16,2026-09-16,CM,NSE,STK,765015,INE178T01024,ADVIKCA,EQ,,,,,ADVIK CAPITAL LTD.,0.96,0.99,0.95,0.97,0.97,0.98,,0.97,,,461983,447028.16,349,F1,1,,,,,,Cash Only,Unclassified,False,0.9700000000000001,0.97,0.9700000000000002,0.9700000000000002,0.97,2.220446049250313e-16,2.289119638402385e-14,Narrow,Bullish,Inside CPR,False,False,0.13636363636363635,22,338286.445,Lower,True,Risk Off,True,0.06285714285714282,,,3.5325278056255003e-15,1.3214486320904757,False,False,Watch Long,Long,62,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.32x) (20/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-16,2026-09-16,CM,NSE,STK,393,INE581X01021,GLOBE,EQ,,,,,GLOBE ENTERPRISE (I) LTD,1.79,1.79,1.75,1.77,1.78,1.76,,1.77,,,179969,319363.08,228,F1,1,,,,,,Cash Only,Unclassified,False,1.7700000000000002,1.77,1.7700000000000005,1.7700000000000005,1.77,4.440892098500626e-16,2.5089785867235178e-14,Narrow,Bullish,Inside CPR,False,False,0.11666666666666667,60,587381.8049999999,Lower,True,Risk Off,True,0.0721428571428571,2.024,2.1893000000000002,6.155692017723643e-15,0.5437061163309272,False,False,Watch Long,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.54x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-16,2026-09-16,CM,NSE,STK,2658,INE245B01011,PHOENXINTL,EQ,,,,,PHOENIX INTERNATIONAL LTD,28.4,28.4,27.8,28.1,28.4,28.4,,28.1,,,1778,49912.63,35,F1,1,,,,,,Cash Only,Unclassified,False,28.100000000000005,28.1,28.10000000000001,28.10000000000001,28.1,7.105427357601002e-15,2.528621835445196e-14,Narrow,Bullish,Inside CPR,False,False,0.045454545454545456,22,61046.295,Lower,True,Risk Off,True,2.213571428571428,,,3.2099381415428863e-15,0.8176193166186416,False,False,Watch Long,Long,54,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.82x) (12/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-16,2026-09-16,CM,NSE,STK,31163,INE743M01012,RHIM,EQ,,,,,RHI MAGNESITA INDIA LTD,361.7,366.7,360.5,363.6,363.4,361.6,,363.62,,,123204,44765762.95,5428,F1,1,,,,,,Cash Only,Capital Goods,True,363.6000000000001,363.6,363.60000000000014,363.60000000000014,363.6,1.1368683772161603e-13,3.126700707415182e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,125663164.94999999,Lower,True,Risk Off,True,8.68214285714285,389.35600000000005,389.163,1.309432931388421e-14,0.35623615693438737,False,False,Watch Long,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.36x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-16,2026-09-16,CM,NSE,STK,15420,INE666E01020,ACL,EQ,,,,,ANDHRA CEMENTS LIMITED,42.55,43.5,41.9,42.7,42.79,42.55,,42.7,,,14356,612476.95,432,F1,1,,,,,,Cash Only,Unclassified,False,42.70000000000001,42.7,42.70000000000002,42.70000000000002,42.7,1.4210854715202004e-14,3.328069019953631e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,539827.475,Higher,True,Risk Off,True,1.240714285714286,46.3746,50.4041,1.1453768912655613e-14,1.1345790615788869,False,False,Watch Long,Long,62,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.13x) (20/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-16,2026-09-16,CM,NSE,STK,765361,INE0K9O01026,LALITHAA,EQ,,,,,LALITHAA JEWELLERY MART L,305.65,305.65,305.65,305.65,305.65,321.7,,305.59,,,147338,45033859.7,3251,F1,1,,,,,,Cash Only,Unclassified,False,305.65,305.65,305.65,305.65,305.65,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.08823529411764706,17,3527919841.67,Lower,False,Risk Off,False,18.005,,,0.0,0.012764989489863938,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,757336,INE0INX01018,AEGISVOPAK,EQ,,,,,AEGIS VOPAK TERMINALS LTD,305.0,305.0,288.9,296.95,295.9,302.0,,296.99,,,1920715,571758408.55,54407,F1,1,,,,,,Cash Only,Oil Gas & Consumable Fuels,True,296.95,296.95,296.95,296.95,296.95,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,293948253.90999997,Lower,True,Risk Off,False,12.782142857142853,282.8824,248.2293,0.0,1.9450988428904188,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,5020,INE308E01029,SVPGLOB,EQ,,,,,SVP GLOBAL TEXTILES LTD,3.49,3.49,3.33,3.41,3.36,3.39,,3.41,,,25916,87520.8,60,F1,1,,,,,,Cash Only,Unclassified,False,3.41,3.41,3.41,3.41,3.41,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,216867.86,Lower,True,Risk Off,False,0.2042857142857142,3.4728,3.6106,0.0,0.40356740736040836,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,20110,INE999K01014,GREENPOWER,EQ,,,,,ORIENT GREEN POWER CO LTD,9.21,9.21,8.91,9.06,9.13,9.09,,9.06,,,2506910,22640782.25,4774,F1,1,,,,,,Cash Only,Unclassified,False,9.06,9.06,9.06,9.06,9.06,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,19468315.685000002,Lower,True,Risk Off,False,0.35714285714285715,9.6876,10.483500000000001,0.0,1.1629553689353993,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
