TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-16,2026-09-16,CM,NSE,STK,19142,INE240C01028,UMESLTD,EQ,,,,,USHA MARTIN EDU & SOL LTD,4.9,4.9,4.08,4.08,4.08,4.53,,4.08,,,363161,1496469.16,358,F1,1,,,,,,Cash Only,Unclassified,False,4.3533333333333335,4.49,4.216666666666667,4.49,4.216666666666667,0.27333333333333343,6.699346405228761,Wide,Bearish,Below CPR,False,False,1.0,60,99339.985,Lower,True,Risk Off,False,0.4542857142857143,5.458600000000001,5.1861,0.6016771488469603,15.064117032028944,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,2259,INE083A01026,MOREPENLAB,EQ,,,,,MOREPEN LAB. LTD,106.45,116.0,97.04,114.73,114.15,106.22,,114.72,,,39424210,4231921349.05,159523,F1,1,,,,,,Cash Only,Unclassified,False,109.25666666666667,106.52000000000001,111.99333333333334,111.99333333333334,106.52000000000001,5.473333333333329,4.770620878003425,Wide,Bullish,Above CPR,False,False,0.9833333333333333,60,976005945.3199999,Outside,True,Risk Off,False,8.685714285714287,82.18960000000001,64.85640000000001,0.6301535087719292,4.3359585762179895,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,16736,INE964W01021,MKPL,EQ,,,,,M K PROTEINS LIMITED,4.0,4.7,3.93,4.03,4.06,3.92,,4.03,,,128524,524720.89,473,F1,1,,,,,,Cash Only,Unclassified,False,4.22,4.315,4.124999999999999,4.315,4.124999999999999,0.19000000000000128,4.714640198511198,Wide,Bearish,Below CPR,False,False,1.0,60,439253.33,Higher,True,Risk Off,False,0.17357142857142857,4.1983999999999995,4.5996999999999995,1.0946502057613243,1.1945746432929718,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,6278,INE646B01010,MEDICAMEQ,EQ,,,,,MEDICAMEN BIOTECH LIMITED,315.35,354.4,290.55,345.5,343.95,318.2,,345.36,,,248996,83571230.55,9258,F1,1,,,,,,Cash Only,Unclassified,False,330.15000000000003,322.475,337.82500000000005,337.82500000000005,322.475,15.350000000000023,4.442836468885679,Wide,Bullish,Above CPR,False,False,1.0,60,5566670.42,Overlapping,True,Risk Off,False,25.60928571428571,251.54080000000002,253.92430000000002,0.5993919616210648,15.012785784792339,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,2939,INE301D01026,RUBYMILLS,EQ,,,,,THE RUBY MILLS LTD,427.15,468.65,398.4,462.1,464.0,432.4,,462.07,,,90742,40193517.0,3787,F1,1,,,,,,Cash Only,Unclassified,False,443.05,433.525,452.57500000000005,452.57500000000005,433.525,19.050000000000068,4.1224843107552624,Wide,Bullish,Above CPR,False,False,0.9666666666666667,60,3691267.205,Outside,True,Risk Off,False,44.05785714285714,267.909,234.1323,0.4323859859600217,10.88881264015673,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,759256,INE965W01036,BMWVENTLTD,EQ,,,,,BMW VENTURES LIMITED,51.21,59.0,50.7,51.8,51.0,51.61,,51.8,,,652482,34544075.81,4244,F1,1,,,,,,Cash Only,Unclassified,False,53.833333333333336,54.85,52.81666666666667,54.85,52.81666666666667,2.0333333333333314,3.9253539253539222,Wide,Bearish,Below CPR,False,False,1.0,60,3507212.2350000003,Higher,True,Risk Off,False,1.9400000000000008,57.03940000000001,58.9023,1.0481099656357373,9.849439810134559,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,13598,INE818A01017,ANTELOPUS,EQ,,,,,ANTELOPUS SELAN ENRGY LTD,1071.05,1214.45,996.1,1170.95,1173.0,1057.8,,1170.95,,,4319113,4957056787.2,193013,F1,1,,,,,,Cash Only,Unclassified,False,1127.1666666666667,1105.275,1149.0583333333334,1149.0583333333334,1105.275,43.7833333333333,3.7391291970906786,Wide,Bullish,Above CPR,False,False,0.9833333333333333,60,107890642.9,Higher,True,Risk Off,False,96.62142857142855,871.7560000000001,820.674,0.45314309652300316,45.94519648747037,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,764980,INE359B01010,VEDAVAAG,EQ,,,,,VEDAVAAG SYSTEMS LTD.,21.97,22.07,19.6,19.77,20.0,20.98,,19.8,,,62223,1255683.8,370,F1,1,,,,,,Cash Only,Unclassified,False,20.48,20.835,20.125,20.835,20.125,0.7100000000000009,3.591299949418315,Wide,Bearish,Below CPR,False,False,0.9090909090909091,22,474818.96499999997,Lower,True,Risk Off,False,1.780714285714285,,,0.39871640593662316,2.6445527507520685,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,13295,INE286H01012,VISACHROME,EQ,,,,,VISA CHROME LIMITED,33.53,35.2,31.86,31.86,31.86,33.53,,31.86,,,69916,2283853.0,321,F1,1,,,,,,Cash Only,Unclassified,False,32.973333333333336,33.53,32.41666666666667,33.53,32.41666666666667,1.1133333333333297,3.494454906884274,Wide,Bearish,Below CPR,False,False,1.0,22,950883.96,Lower,True,Risk Off,False,2.4642857142857157,,,0.45178743961352485,2.4018209330189983,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-16,2026-09-16,CM,NSE,STK,9652,INE750D01016,RELCHEMQ,EQ,,,,,RELIANCE CHEMOTEX IND LTD,123.71,129.4,115.27,116.66,116.4,120.7,,116.68,,,42380,5224365.69,951,F1,1,,,,,,Cash Only,Unclassified,False,120.44333333333334,122.33500000000001,118.55166666666668,122.33500000000001,118.55166666666668,3.7833333333333314,3.243042459569117,Wide,Bearish,Below CPR,False,False,1.0,60,350388.58499999996,Outside,True,Risk Off,False,7.0707142857142875,121.6172,123.971,0.5350708825807317,14.910205165502184,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
