SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
DHATRE,Unclassified,4.13,4.1499999999999995,4.16,4.139999999999999,4.16,4.139999999999999,0.48426150121068645,0.20689655172413793,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,88,Strong confirmation,CPR width: 0.4843% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.79x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
TRANSCOR,Unclassified,24.05,24.183333333333334,24.25,24.116666666666667,24.25,24.116666666666667,0.5544005544005524,0.1724137931034483,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,88,Strong confirmation,CPR width: 0.5544% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.06x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
VOGL,Unclassified,34.37,34.51666666666667,34.59,34.44333333333334,34.59,34.44333333333334,0.4267287363010218,0.2,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4267% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.35x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
TEMPSENS,Unclassified,531.05,533.4,534.575,532.2249999999999,534.575,532.2249999999999,0.4425195367668085,0.25,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4425% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.47x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
LPDC,Unclassified,6.51,6.539999999999999,6.555,6.524999999999999,6.555,6.524999999999999,0.46082949308757515,0.15,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4608% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.69x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
GAJA,Unclassified,142.26,143.00666666666666,143.38,142.63333333333333,143.38,142.63333333333333,0.5248605839074018,0.13636363636363635,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5249% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.38x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
GAUDIUMIVF,Unclassified,115.22,115.90000000000002,116.24000000000001,115.56000000000003,116.24000000000001,115.56000000000003,0.5901753167852616,0.19444444444444445,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5902% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.48x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
KJMCFIN,Unclassified,60.05,60.04999999999999,60.05,60.04999999999998,60.05,60.04999999999998,2.3665036994507915e-14,0.06896551724137931,Inside,Watch Short,Bearish,Inside CPR,Cash Only,-1,Short,66,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.04x) (4/20); Higher timeframe: slightly aligned (-1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
SUMEDHA,Unclassified,42.95,42.95000000000001,42.95,42.95000000000002,42.95000000000002,42.95,3.30869725615879e-14,0.06896551724137931,Lower,Watch Long,Bullish,Inside CPR,Cash Only,1,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.12x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
