TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-08,2026-09-08,CM,NSE,STK,18562,INE997Y01027,MITTAL,EQ,,,,,MITTAL LIFE STYLE LIMITED,0.95,1.05,0.85,0.86,0.87,0.92,,0.86,,,5554006,5332011.93,1839,F1,1,,,,,,Cash Only,Unclassified,False,0.9199999999999999,0.95,0.8899999999999999,0.95,0.8899999999999999,0.06000000000000005,6.976744186046519,Wide,Bearish,Below CPR,False,False,1.0,60,403218.12,Overlapping,True,Risk Off,False,0.062142857142857125,0.8988,0.936,0.9655172413793115,13.223641660746793,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,15271,INE792I01017,CORDSCABLE,EQ,,,,,CORDS CABLE INDUS LTD.,314.85,376.0,303.0,372.75,376.0,313.35,,372.69,,,1937988,691116005.6,34539,F1,1,,,,,,Cash Only,Unclassified,False,350.5833333333333,339.5,361.66666666666663,361.66666666666663,339.5,22.16666666666663,5.94679186228481,Wide,Bullish,Above CPR,False,False,1.0,60,7294275.78,Higher,True,Risk Off,False,29.282857142857143,202.49179999999996,183.4361,0.7569844212443477,94.74772087654739,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,10905,INE727B01026,GENESYS,EQ,,,,,GENESYS INTL CORPN LTD,240.25,288.19,239.5,288.19,288.19,240.16,,288.19,,,8754555,2407794207.26,116541,F1,1,,,,,,Cash Only,Unclassified,False,271.96000000000004,263.845,280.07500000000005,280.07500000000005,263.845,16.230000000000018,5.631701308164759,Wide,Bullish,Above CPR,False,False,1.0,60,105500898.075,Higher,True,Risk Off,False,18.415000000000003,266.6432,271.4532,0.8813467282106987,22.822499629797584,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,3766,INE715A01015,WHEELS,EQ,,,,,WHEELS INDIA LTD,1760.9,2106.4,1760.9,2106.4,2106.4,1755.4,,2106.52,,,3912924,7836713357.0,211968,F1,1,,,,,,Cash Only,Unclassified,False,1991.2333333333336,1933.65,2048.816666666667,2048.816666666667,1933.65,115.16666666666697,5.467464235979252,Wide,Bullish,Above CPR,False,False,1.0,60,143895080.05,Higher,True,Risk Off,False,93.5928571428572,1494.522,1466.043,1.230507008573103,54.461301625301815,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,4568,INE446A01025,ATLASCYCLE,EQ,,,,,ATLAS CYCLE (HARYANA) LTD,95.6,113.38,95.0,113.03,112.49,94.49,,113.09,,,1077562,118347738.52,9927,F1,1,,,,,,Cash Only,Unclassified,False,107.13666666666666,104.19,110.08333333333331,110.08333333333331,104.19,5.893333333333317,5.2139549971983685,Wide,Bullish,Above CPR,False,False,1.0,60,306243.985,Higher,True,Risk Off,False,4.35142857142857,97.5264,99.06949999999999,1.3543444955132382,386.4491853448158,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,2814,INE006Z01016,ARVEE,EQ,,,,,ARVEE LABORATORIES I LTD,164.74,196.71,163.61,193.74,196.71,163.93,,193.74,,,59140,11102884.64,810,F1,1,,,,,,Cash Only,Unclassified,False,184.6866666666667,180.16000000000003,189.21333333333337,189.21333333333337,180.16000000000003,9.053333333333342,4.67292935549362,Wide,Bullish,Above CPR,False,False,1.0,60,165070.625,Higher,True,Risk Off,False,12.590000000000007,163.5134,164.2737,0.7190892242520521,67.26142001340335,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,765931,INE1M2N01020,DEEPA,EQ,,,,,DEEPA JEWELLERS LIMITED,221.0,222.0,193.0,194.37,194.7,177.0,,194.37,,,50931963,10369191037.15,436713,F1,1,,,,,,Cash Only,Unclassified,False,203.12333333333333,207.5,198.74666666666667,207.5,198.74666666666667,8.75333333333333,4.503438459295843,Wide,Bearish,Below CPR,False,False,1.0,1,10369191037.15,Unknown,False,Risk Off,False,,,,,1.0,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,967,INE754A01055,SUBEXLTD,EQ,,,,,SUBEX LTD,16.72,19.58,16.7,19.23,19.07,16.74,,19.23,,,31292634,588982350.25,93126,F1,1,,,,,,Cash Only,Unclassified,False,18.503333333333334,18.14,18.866666666666667,18.866666666666667,18.14,0.7266666666666666,3.778817819379441,Wide,Bullish,Above CPR,False,False,0.9833333333333333,60,25437287.575,Higher,True,Risk Off,False,1.2650000000000006,11.892999999999999,10.754599999999998,0.5744400527009219,23.154290665363916,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,3727,INE02AR01019,ANMOL,EQ,,,,,ANMOL INDIA LIMITED,10.49,11.48,10.0,11.38,11.18,10.09,,11.37,,,221539,2371548.44,684,F1,1,,,,,,Cash Only,Unclassified,False,10.953333333333333,10.74,11.166666666666666,11.166666666666666,10.74,0.42666666666666586,3.7492677211482057,Wide,Bullish,Above CPR,False,False,0.9833333333333333,60,259990.675,Overlapping,True,Risk Off,False,0.49928571428571417,10.371599999999999,11.018699999999999,0.8545541249403896,9.121667305952416,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,-2,-2
2026-09-08,2026-09-08,CM,NSE,STK,765382,INE1WFC01025,SHANKESH,EQ,,,,,SHANKESH JEWELLERS LTD,103.5,106.7,93.22,94.89,94.05,102.37,,94.9,,,10007242,989959180.07,52936,F1,1,,,,,,Cash Only,Unclassified,False,98.27,99.96000000000001,96.57999999999998,99.96000000000001,96.57999999999998,3.380000000000024,3.5620191801033028,Wide,Bearish,Below CPR,False,False,0.9090909090909091,11,854506536.7,Lower,False,Risk Off,False,,,,,1.1585156315984446,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
