SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
WANBURY,Unclassified,227.55,226.58333333333334,226.1,227.0666666666667,0.4248150589614137,0.21666666666666667,Higher,Long,True,Bullish,Above CPR,Cash Only,2,Long,52,Mixed,CPR width: 0.4248% (12/20); Price location: Above CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.69x) (4/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
KOPRAN,Unclassified,282.98,281.8,281.21,282.39000000000004,0.4169906000424283,0.18333333333333332,Higher,Long,True,Bullish,Above CPR,Cash Only,2,Long,88,Strong confirmation,CPR width: 0.4170% (12/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (6.91x) (20/20); Higher timeframe: aligned (+2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
IIFLCAPS,Unclassified,344.4,344.3999999999999,344.4,344.39999999999986,3.301011548246691e-14,0.06666666666666667,Higher,Watch Short,True,Bearish,Inside CPR,Cash Only,-1,Short,62,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: confirmed (1.31x) (20/20); Higher timeframe: slightly aligned (-1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied
INDOTECH,Unclassified,3313.5,3326.7666666666664,3333.4,3320.1333333333328,0.4003822745334943,0.18333333333333332,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,52,Mixed,CPR width: 0.4004% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.46x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
VISL,Unclassified,30.68,30.860000000000003,30.950000000000003,30.770000000000003,0.5867014341590603,0.2033898305084746,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5867% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.45x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
BLUSPRING,Unclassified,121.89,122.64,123.015,122.265,0.6153088850603003,0.23333333333333334,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,52,Mixed,CPR width: 0.6153% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.25x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
