TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-22,2026-09-22,CM,NSE,STK,21469,INE350C01017,OPTIEMUS,EQ,,,,,OPTIEMUS INFRACOM LTD,590.0,708.9,590.0,708.9,708.9,590.75,,708.9,,,8046819,5413132788.85,173080,F1,1,,,,,,Cash Only,Unclassified,False,669.2666666666668,649.45,689.0833333333335,689.0833333333335,649.45,39.63333333333344,5.590821460478692,Wide,Bullish,Above CPR,False,False,1.0,60,116147479.4,Higher,True,Risk Off,False,33.5642857142857,585.178,517.404,1.1808186138894836,46.60568457286728,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,15391,INE084Q01012,RACE,EQ,,,,,RACE ECO CHAIN LIMITED,102.0,119.98,99.94,119.98,119.98,99.99,,119.83,,,682329,73242417.61,1482,F1,1,,,,,,Cash Only,Unclassified,False,113.30000000000001,109.96000000000001,116.64000000000001,116.64000000000001,109.96000000000001,6.680000000000007,5.567594599099855,Wide,Bullish,Above CPR,False,False,1.0,60,619108.44,Higher,True,Risk Off,False,5.912857142857144,104.0746,107.9607,1.1297414834501096,118.30305141696986,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,4064,INE144D01012,CUBEXTUB,EQ,,,,,CUBEX TUBINGS LTD,89.0,104.85,87.91,104.85,104.85,87.38,,104.85,,,1043536,104023289.13,10480,F1,1,,,,,,Cash Only,Unclassified,False,99.20333333333333,96.38,102.02666666666667,102.02666666666667,96.38,5.646666666666675,5.385471308218098,Wide,Bullish,Above CPR,False,False,1.0,60,3167529.895,Higher,True,Risk Off,False,4.934285714285715,79.26939999999999,84.07220000000001,1.144373673036095,32.840507454784415,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,765200,INE330E01023,TRANSCOR,EQ,,,,,TRANSCORP INTERNATIONAL L,29.0,29.0,24.2,24.92,25.33,24.97,,24.98,,,12276,333137.15,93,F1,1,,,,,,Cash Only,Unclassified,False,26.040000000000003,26.6,25.480000000000004,26.6,25.480000000000004,1.1199999999999974,4.4943820224719,Wide,Bearish,Below CPR,False,False,1.0,26,64936.21,Higher,True,Risk Off,False,1.8178571428571426,,,0.6161100196463641,5.130221643671536,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,2595,INE105C01023,3PLAND,EQ,,,,,3P LAND HOLDINGS LIMITED,30.5,34.88,30.5,30.74,30.5,31.5,,30.74,,,85714,2791898.14,846,F1,1,,,,,,Cash Only,Unclassified,False,32.04,32.69,31.39,32.69,31.39,1.2999999999999972,4.229017566688345,Wide,Bearish,Below CPR,False,False,1.0,60,71140.31,Higher,True,Risk Off,False,1.868571428571428,31.876600000000003,32.217999999999996,0.6957186544342494,39.24495324802493,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,758680,INE0MHO01029,REGAAL,EQ,,,,,REGAAL RESOURCES LIMITED,83.44,100.12,82.6,97.21,98.8,83.44,,97.21,,,8177219,770811623.79,47011,F1,1,,,,,,Cash Only,Unclassified,False,93.31,91.36,95.26,95.26,91.36,3.9000000000000057,4.011932928711044,Wide,Bullish,Above CPR,False,False,1.0,60,31800083.354999997,Higher,True,Risk Off,False,4.625714285714288,86.86400000000002,76.3958,0.8431130327362577,24.23929570199707,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,1085,INE524A01029,GABRIEL,EQ,,,,,GABRIEL INDIA LTD,1291.3,1495.0,1291.3,1471.4,1478.0,1290.3,,1471.35,,,7891064,11383294029.4,276612,F1,1,,,,,,Cash Only,Automobile and Auto Components,True,1419.2333333333336,1393.15,1445.316666666667,1445.316666666667,1393.15,52.16666666666697,3.5453762856236892,Wide,Bullish,Above CPR,False,False,1.0,60,376980819.45,Higher,True,Risk Off,False,63.40000000000003,1403.414,1268.759,0.8228180862250307,30.195950144115482,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,8827,INE652Z01025,AVROIND,EQ,,,,,AVRO INDIA LIMITED,8.14,8.14,7.08,7.24,7.15,7.91,,7.24,,,765860,5656896.34,1315,F1,1,,,,,,Cash Only,Unclassified,False,7.486666666666667,7.61,7.363333333333334,7.61,7.363333333333334,0.24666666666666615,3.4069981583793667,Wide,Bearish,Below CPR,False,False,0.9833333333333333,60,3033348.21,Lower,True,Risk Off,False,0.6514285714285714,8.7502,12.006699999999999,0.37865497076023313,1.864901735102809,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,762747,INE338F01015,KLBRENG-B,EQ,,,,,KILBURN ENGINEERING LTD.,461.15,525.0,461.15,519.5,518.95,460.0,,519.46,,,1923203,981666953.9,46002,F1,1,,,,,,Cash Only,Unclassified,False,501.8833333333334,493.075,510.6916666666668,510.6916666666668,493.075,17.616666666666788,3.3910811677895647,Wide,Bullish,Above CPR,False,False,1.0,60,44955136.8,Higher,True,Risk Off,False,25.628571428571423,425.25200000000007,456.191,0.6873838721664858,21.83659140594585,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,759747,INE719F01016,SHIVAUM,EQ,,,,,SHIV AUM STEELS LIMITED,460.35,519.0,460.0,515.05,513.9,472.55,,515.05,,,682178,319606574.1,2269,F1,1,,,,,,Cash Only,Unclassified,False,498.01666666666665,489.5,506.5333333333333,506.5333333333333,489.5,17.033333333333303,3.3071222858622087,Wide,Bullish,Above CPR,False,False,0.95,60,1179614.3,Higher,True,Risk Off,False,22.17142857142856,439.115,396.80549999999994,0.7682560137457035,270.9415900604121,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,762752,INE972A01020,KOTIC,EQ,,,,,KOTHARI INDUSTRIAL CORP L,147.89,163.0,145.2,146.89,147.8,145.25,,146.9,,,321420,49950183.5,5710,F1,1,,,,,,Cash Only,Unclassified,False,151.69666666666666,154.1,149.29333333333332,154.1,149.29333333333332,4.806666666666672,3.272289922163982,Wide,Bearish,Below CPR,False,False,1.0,60,1828462.72,Higher,True,Risk Off,False,12.054999999999998,150.653,158.88410000000002,0.3987280519839629,27.3181306644305,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,764688,INE265D01015,GKB,EQ,,,,,GKB OPHTHALMICS LTD.,69.11,76.02,67.11,68.37,68.35,69.11,,68.26,,,86152,6343194.85,947,F1,1,,,,,,Cash Only,Unclassified,False,70.5,71.565,69.435,71.565,69.435,2.1299999999999955,3.115401491882398,Wide,Bearish,Below CPR,False,False,1.0,24,55518.425,Higher,True,Risk Off,False,4.847142857142856,,,0.4394341290893007,114.25386887326142,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,765175,INE886B01012,SUMEDHA,EQ,,,,,SUMEDHA FISCAL SERVICES L,48.1,48.1,44.0,44.04,44.0,43.9,,44.09,,,2902,131322.97,95,F1,1,,,,,,Cash Only,Unclassified,False,45.379999999999995,46.05,44.709999999999994,46.05,44.709999999999994,1.3400000000000034,3.042688465031797,Wide,Bearish,Below CPR,False,False,1.0,26,71102.375,Higher,True,Risk Off,False,2.8835714285714293,,,0.46470151102303797,1.8469561670759944,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,14450,INE069I01010,EMBDL,EQ,,,,,EMBASSY DEVELOPMENTS LTD,61.0,63.8,58.2,58.43,58.4,58.89,,58.43,,,5822899,352761777.28,31920,F1,1,,,,,,Cash Only,Unclassified,False,60.14333333333334,61.0,59.286666666666676,61.0,59.286666666666676,1.713333333333324,2.932283644246661,Wide,Bearish,Below CPR,False,False,1.0,60,125218881.265,Higher,True,Risk Off,False,2.4271428571428557,60.971,62.321000000000005,0.7059054345693511,2.8171612277341165,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,765225,INE945P01024,WARDINMOBI,EQ,,,,,WARDWIZARD INNO & MOB L,5.75,6.18,5.57,5.63,5.68,5.61,,5.63,,,318418,1801547.52,749,F1,1,,,,,,Cash Only,Unclassified,False,5.793333333333333,5.875,5.711666666666666,5.875,5.711666666666666,0.163333333333334,2.901124925991723,Wide,Bearish,Below CPR,False,False,0.8846153846153846,26,1571384.525,Higher,True,Risk Off,False,0.34214285714285714,,,0.4773834377174689,1.1464714659831592,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-22,2026-09-22,CM,NSE,STK,3813,INE420B01036,ARIHANTCAP,EQ,,,,,ARIHANT CAPITAL MKTS LTD,81.19,93.0,81.19,90.99,92.89,81.61,,90.98,,,6068298,544144100.2,43506,F1,1,,,,,,Cash Only,Unclassified,False,88.39333333333333,87.095,89.69166666666666,89.69166666666666,87.095,2.596666666666664,2.853793457156461,Wide,Bullish,Above CPR,False,False,1.0,60,12885807.5,Higher,True,Risk Off,False,3.3521428571428578,77.5674,73.5978,0.7746288798920369,42.22817236715666,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
