TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-24,2026-09-24,CM,NSE,STK,764648,INE823B01015,COMPEAU,EQ,,,,,COMPETENT AUTOMOB CO. L,373.0,375.0,365.0,365.0,365.0,364.4,,364.35,,,276,102654.0,12,F1,1,,,,,,Cash Only,Unclassified,False,368.3333333333333,370.0,366.66666666666663,370.0,366.66666666666663,3.3333333333333712,0.9132420091324305,Wide,Bearish,Below CPR,False,False,0.5714285714285714,28,304523.8,Overlapping,True,Risk Off,False,15.000000000000004,,,0.2222222222222247,0.33709680491311356,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,29050,INE840M01016,ZUARI,EQ,,,,,ZUARI AGRO CHEMICALS LTD,222.55,225.75,217.06,218.41,218.0,224.09,,218.41,,,85550,18946256.88,2783,F1,1,,,,,,Cash Only,Unclassified,False,220.40666666666667,221.405,219.40833333333333,221.405,219.40833333333333,1.9966666666666697,0.914182806037576,Wide,Bearish,Below CPR,False,False,0.8666666666666667,60,19817854.64,Lower,True,Risk Off,False,6.454999999999998,226.2098,227.1755,0.30932093983991793,0.9560195704412533,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,11082,INE908V01012,LIBAS,EQ,,,,,LIBAS CONSU PRODUCTS LTD,12.0,12.56,11.15,12.02,12.56,12.09,,12.02,,,241544,2801851.29,752,F1,1,,,,,,Cash Only,Unclassified,False,11.910000000000002,11.855,11.965000000000003,11.965000000000003,11.855,0.11000000000000298,0.9151414309484441,Wide,Bullish,Above CPR,False,False,0.5666666666666667,60,283827.255,Lower,True,Risk Off,False,0.9100000000000001,10.4416,11.1726,0.12087912087912414,9.871678074045425,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Upside Breakout,Confirmed,Wide CPR + close above CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,3646,INE835A01029,VARDMNPOLY,EQ,,,,,VARDHMAN POLYTEX LTD.,5.96,6.0,5.78,5.81,5.81,5.91,,5.81,,,128283,752461.39,281,F1,1,,,,,,Cash Only,Unclassified,False,5.863333333333333,5.890000000000001,5.836666666666666,5.890000000000001,5.836666666666666,0.053333333333334565,0.9179575444635898,Wide,Bearish,Below CPR,False,False,0.75,60,838996.64,Overlapping,True,Risk Off,False,0.23714285714285724,6.060200000000001,6.541,0.2248995983935794,0.8968586453457073,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,11571,INE0DK501011,PPLPHARMA,EQ,,,,,PIRAMAL PHARMA LIMITED,210.65,214.89,207.1,208.12,207.94,210.74,,208.12,,,4373651,922674005.03,63637,F1,1,,,,,,Cash Only,Healthcare,True,210.03666666666666,210.995,209.07833333333332,210.995,209.07833333333332,1.9166666666666856,0.9209430456787842,Wide,Bearish,Below CPR,False,False,0.8333333333333334,60,891706138.06,Lower,True,Risk Off,False,7.728571428571426,205.077,187.92440000000002,0.2479975354282219,1.0347287807588426,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,8727,INE151G01028,SHAILY,EQ,,,,,SHAILY ENG PLASTICS LTD,3210.3,3210.3,3100.0,3112.1,3120.0,3211.0,,3112.19,,,101352,319502287.6,15652,F1,1,,,,,,Cash Only,Unclassified,False,3140.7999999999997,3155.15,3126.4499999999994,3155.15,3126.4499999999994,28.700000000000728,0.922206869959215,Wide,Bearish,Below CPR,False,False,0.8,60,481859493.85,Lower,True,Risk Off,False,125.07857142857145,3192.27,3011.535,0.22945577065844905,0.6630611032423886,False,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend mixed; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,16783,INE200A01026,GVT&D,EQ,,,,,GE VERNOVA T&D INDIA LTD,4372.1,4405.0,4286.3,4286.3,4286.3,4417.0,,4286.38,,,337791,1470239481.9,49389,F1,1,,,,,,F&O + Cash,Capital Goods,True,4325.866666666666,4345.65,4306.083333333332,4345.65,4306.083333333332,39.566666666667516,0.9230960657599214,Wide,Bearish,Below CPR,False,False,0.7666666666666667,60,3540875892.3999996,Lower,True,Risk Off,False,163.37857142857143,4336.9,4561.3679999999995,0.24217782246900066,0.4152191510173135,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,17728,INE563J01010,ASTEC,EQ,,,,,ASTEC LIFESCIENCES LTD,747.7,756.8,721.0,728.8,731.0,757.45,,728.77,,,67021,49370260.4,4232,F1,1,,,,,,Cash Only,Unclassified,False,735.5333333333333,738.9,732.1666666666666,738.9,732.1666666666666,6.7333333333333485,0.923893157702161,Wide,Bearish,Below CPR,False,False,0.7,60,20673019.175,Lower,True,Risk Off,False,59.29642857142858,641.941,687.9975,0.11355377542211272,2.3881494996968673,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend opposes; participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,12533,INE0D0U01013,AAATECH,EQ,,,,,AAA TECHNOLOGIES LIMITED,94.16,95.98,90.25,91.84,92.77,93.56,,91.82,,,128773,12103487.54,893,F1,1,,,,,,Cash Only,Unclassified,False,92.69000000000001,93.11500000000001,92.26500000000001,93.11500000000001,92.26500000000001,0.8499999999999943,0.9255226480836175,Wide,Bearish,Below CPR,False,False,0.7833333333333333,60,1363632.45,Overlapping,True,Risk Off,False,4.15142857142857,92.18459999999999,93.8566,0.20474879559531872,8.875916336546553,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Breakout,Confirmed,Wide CPR + close below CPR + trend aligned + participation confirmed,0,0,0,0
2026-09-24,2026-09-24,CM,NSE,STK,765356,INE685T01010,HORIZONIND,EQ,,,,,HORIZON INDUSTRIAL PRKS L,52.32,53.54,51.52,51.81,51.56,53.28,,51.81,,,3423391,179059287.68,16126,F1,1,,,,,,Cash Only,Unclassified,False,52.29,52.53,52.05,52.53,52.05,0.480000000000004,0.9264620729588958,Wide,Bearish,Below CPR,False,False,0.7391304347826086,23,218566963.64,Lower,True,Risk Off,False,1.7285714285714278,,,0.2776859504132256,0.8192422344985641,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,0,0
