SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
LPDC,Unclassified,6.58,6.616666666666667,6.635,6.5983333333333345,6.635,6.5983333333333345,0.55724417426543,0.2,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,88,Strong confirmation,CPR width: 0.5572% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (5.12x) (20/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
HORIZONIND,Unclassified,52.76,52.76,52.760000000000005,52.75999999999999,52.760000000000005,52.75999999999999,2.6934902796061416e-14,0.047619047619047616,Lower,Watch Short,Bearish,Inside CPR,Cash Only,-1,Short,82,Strong confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (1.00x) (20/20); Higher timeframe: slightly aligned (-1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
MBLINFRA,Unclassified,21.76,21.849999999999998,21.895,21.804999999999996,21.895,21.804999999999996,0.4136029411764862,0.21666666666666667,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4136% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.25x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
SHANKESH,Unclassified,91.09,91.58333333333333,91.83,91.33666666666666,91.83,91.33666666666666,0.5415889047462283,0.15,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5416% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.26x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
GAYAHWS,Unclassified,1.9,1.8999999999999997,1.9,1.8999999999999995,1.9,1.8999999999999995,2.337311630789803e-14,0.075,Higher,Watch Short,Bearish,Inside CPR,Cash Only,-1,Short,66,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.43x) (4/20); Higher timeframe: slightly aligned (-1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
GLOTTIS,Unclassified,57.41,57.63999999999999,57.754999999999995,57.52499999999999,57.754999999999995,57.52499999999999,0.40062706845498,0.23333333333333334,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,64,Mixed,CPR width: 0.4006% (12/20); Price location: Below CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: light (0.09x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
SHOPERSTOP,Unclassified,392.5,394.09999999999997,394.9,393.29999999999995,394.9,393.29999999999995,0.4076433121019166,0.25,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,64,Mixed,CPR width: 0.4076% (12/20); Price location: Below CPR (20/20); Trend: partially aligned (1/2) (12/20); Participation: light (0.69x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
SAKUMA,Unclassified,1.52,1.5200000000000002,1.52,1.5200000000000005,1.5200000000000005,1.52,2.9216395384872544e-14,0.1,Lower,Watch Long,Bullish,Inside CPR,Cash Only,1,Long,54,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: moderate (0.75x) (12/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
INDOTECH,Unclassified,3279.0,3296.0,3304.5,3287.5,3304.5,3287.5,0.5184507471790181,0.23333333333333334,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,52,Mixed,CPR width: 0.5185% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.41x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
PHOENXINTL,Unclassified,28.35,28.350000000000005,28.35,28.35000000000001,28.35000000000001,28.35,2.506323582928043e-14,0.038461538461538464,Inside,Watch Long,Bullish,Inside CPR,Cash Only,1,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.39x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
ABMKNO,Unclassified,173.34,173.34,173.33999999999997,173.34000000000003,173.34000000000003,173.33999999999997,3.279301884204916e-14,0.016666666666666666,Lower,Watch Long,Bullish,Inside CPR,Cash Only,1,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.00x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
