SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Regime
TANLA,Unclassified,509.3,511.51666666666665,512.625,510.4083333333333,512.625,510.4083333333333,0.43523790824007397,0.25,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,80,Strong confirmation,CPR width: 0.4352% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.90x) (12/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
SASKEN,Unclassified,1857.1,1864.8666666666668,1868.75,1860.9833333333336,1868.75,1860.9833333333336,0.41821477931540707,0.23333333333333334,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4182% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.64x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
ANNAPURNA,Unclassified,137.68,138.28666666666666,138.59,137.98333333333332,138.59,137.98333333333332,0.4406352895603452,0.19047619047619047,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4406% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.41x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
NAGREEKCAP,Unclassified,22.66,22.78,22.84,22.720000000000002,22.84,22.720000000000002,0.5295675198587707,0.23333333333333334,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5296% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.29x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
AQYLON,Unclassified,22.61,22.74,22.805,22.674999999999997,22.805,22.674999999999997,0.5749668288368092,0.21666666666666667,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5750% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.10x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
EMCURE,Healthcare,1914.4,1914.4000000000003,1914.4,1914.4000000000005,1914.4000000000005,1914.4,2.3754040476727128e-14,0.016666666666666666,Lower,Watch Long,Bullish,Inside CPR,Cash Only,1,Long,66,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.61x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
ANTGRAPHIC,Unclassified,0.72,0.7200000000000001,0.72,0.7200000000000002,0.7200000000000002,0.72,3.0839528461809903e-14,0.13333333333333333,Lower,Watch Long,Bullish,Inside CPR,Cash Only,1,Long,62,Mixed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: confirmed (2.74x) (20/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,Risk Off
TFL,Unclassified,11.92,11.973333333333334,12.0,11.946666666666669,12.0,11.946666666666669,0.4474272930648575,0.21666666666666667,Lower,Short,Bearish,Below CPR,Cash Only,-2,Short,52,Mixed,CPR width: 0.4474% (12/20); Price location: Below CPR (20/20); Trend: opposes SMA direction (0/20); Participation: light (0.09x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied,Risk Off
