TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-08,2026-09-08,CM,NSE,STK,3237,INE643A01035,JTEKTINDIA,EQ,,,,,JTEKT INDIA LIMITED,121.5,122.46,120.1,121.28,122.0,121.3,,121.31,,,94919,11495535.8,1570,F1,1,,,,,,Cash Only,Unclassified,False,121.28000000000002,121.28,121.28000000000003,121.28000000000003,121.28,2.842170943040401e-14,2.34347867994756e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,20284175.525,Higher,True,Risk Off,True,3.0785714285714314,134.7944,133.1725,9.232109791778556e-15,0.5667243307883968,False,False,Watch Long,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.57x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-08,2026-09-08,CM,NSE,STK,23507,INE899L01030,UEL,EQ,,,,,UJAAS ENERGY LIMITED,218.05,218.05,218.05,218.05,218.05,229.52,,218.05,,,3358,732211.9,167,F1,1,,,,,,Cash Only,Unclassified,False,218.05000000000004,218.05,218.05000000000007,218.05000000000007,218.05,5.684341886080802e-14,2.606898365549553e-14,Narrow,Bullish,Inside CPR,False,False,0.21666666666666667,60,882034.335,Lower,True,Risk Off,True,11.004999999999999,174.89600000000002,161.1368,5.165235698392369e-15,0.8301399060615935,True,True,Watch Long,Long,74,Confirmed,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: moderate (0.83x) (12/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-08,2026-09-08,CM,NSE,STK,1448,INE102A01024,HLVLTD,EQ,,,,,HLV LIMITED,6.5,6.5,6.3,6.4,6.37,6.41,,6.4,,,134222,854527.25,392,F1,1,,,,,,Cash Only,Unclassified,False,6.400000000000001,6.4,6.400000000000002,6.400000000000002,6.4,1.7763568394002505e-15,2.7755575615628914e-14,Narrow,Bullish,Inside CPR,False,False,0.016666666666666666,60,1206813.08,Lower,True,Risk Off,True,0.23000000000000004,7.040800000000001,7.5985000000000005,7.723290606088044e-15,0.7080858371206914,False,False,Watch Long,Long,46,Weak confirmation,CPR width: Narrow (20/20); Price location: Inside CPR; watch state (10/20); Trend: opposes SMA direction (0/20); Participation: light (0.71x) (4/20); Higher timeframe: slightly aligned (+1) (12/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,1,0,0,1
2026-09-08,2026-09-08,CM,NSE,STK,23647,INE185E01021,FILATFASH,EQ,,,,,FILATEX FASHIONS LIMITED,0.18,0.19,0.18,0.18,0.19,0.18,,0.18,,,9975185,1822428.75,1878,F1,1,,,,,,Cash Only,Unclassified,False,0.18333333333333335,0.185,0.1816666666666667,0.185,0.1816666666666667,0.0033333333333332993,1.851851851851833,Wide,Bearish,Below CPR,False,False,0.5833333333333334,60,12651305.815,Higher,True,Risk Off,False,0.011428571428571436,0.18200000000000002,0.24049999999999996,0.2916666666666635,0.14405064399275214,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Wide CPR,Wide Downside Watch,Watch,Wide CPR + close below CPR; trend aligned; participation light,0,0,1,1
2026-09-08,2026-09-08,CM,NSE,STK,12490,INE01KI01027,VINNY,EQ,,,,,VINNY OVERSEAS LIMITED,1.01,1.01,0.99,1.0,1.01,1.01,,1.0,,,592112,594300.09,228,F1,1,,,,,,Cash Only,Unclassified,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.08333333333333333,60,283294.85,Lower,True,Risk Off,False,0.022857142857142878,1.0602,1.1003,0.0,2.0978146620032097,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,25608,INE337M01021,INDOTHAI,EQ,,,,,INDO THAI SEC LTD,39.4,39.4,39.4,39.4,39.4,37.53,,39.44,,,59211,2332913.4,103,F1,1,,,,,,Cash Only,Unclassified,False,39.4,39.4,39.4,39.4,39.4,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.15833333333333333,60,174587240.07999998,Higher,True,Risk Off,False,2.706428571428571,140.9844,200.55020000000002,0.0,0.01336245076633896,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,11080,INE534A01028,GFSTEELS,EQ,,,,,GRAND FOUNDRY LTD,16.5,16.5,16.5,16.5,16.5,15.0,,14.65,,,5204,85866.0,17,F1,1,,,,,,Cash Only,Unclassified,False,16.5,16.5,16.5,16.5,16.5,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,1.0,1,85866.0,Unknown,False,Risk Off,False,,,,,1.0,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,764603,INE032E01017,ARYAMAN,EQ,,,,,ARYAMAN FINANCIAL SERV L,639.0,639.0,639.0,639.0,639.0,630.0,,639.9,,,1,639.0,1,F1,1,,,,,,Cash Only,Unclassified,False,639.0,639.0,639.0,639.0,639.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.08823529411764706,17,77673.5,Higher,False,Risk Off,False,22.646428571428576,,,0.0,0.00822674399891855,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,759079,INE0VOV01021,DEVX,EQ,,,,,DEV ACCELERATOR LIMITED,33.06,34.5,33.0,33.75,33.6,33.0,,33.75,,,85260,2876250.69,660,F1,1,,,,,,Cash Only,Unclassified,False,33.75,33.75,33.75,33.75,33.75,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,2947889.08,Higher,True,Risk Off,False,1.9021428571428571,34.2686,36.6138,0.0,0.9756984106064126,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,14194,INE395U01014,NINSYS,EQ,,,,,NINTEC SYSTEMS LIMITED,715.0,715.0,703.2,709.1,710.3,705.85,,709.1,,,3691,2616030.25,540,F1,1,,,,,,Cash Only,Unclassified,False,709.1,709.1,709.1,709.1,709.1,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,2361211.425,Higher,True,Risk Off,False,25.275000000000016,524.9169999999999,436.96950000000004,0.0,1.1079186820383948,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,762700,INE214F01026,GRAVISSHO,EQ,,,,,GRAVISS HOSPITALITY LTD.,28.67,28.67,28.67,28.67,28.67,28.66,,28.67,,,105,3010.35,2,F1,1,,,,,,Cash Only,Unclassified,False,28.67,28.67,28.67,28.67,28.67,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.03333333333333333,60,27568.875,Lower,True,Risk Off,False,1.629285714285714,29.851599999999998,,0.0,0.10919379191207476,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,765210,INE574G01013,VASUPRADA,EQ,,,,,SHRI VASUPRADA PLANTATI L,103.0,103.0,103.0,103.0,103.0,108.0,,103.0,,,25,2575.0,2,F1,1,,,,,,Cash Only,Unclassified,False,103.0,103.0,103.0,103.0,103.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.2916666666666667,12,4714.58,Lower,False,Risk Off,False,,,,,0.5461780264625905,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,15194,INE817H01022,BURNPUR,EQ,,,,,BURNPUR CEMENT LIMITED,19.47,19.47,19.47,19.47,19.47,20.49,,19.47,,,58100,1131207.0,128,F1,1,,,,,,Cash Only,Unclassified,False,19.47,19.47,19.47,19.47,19.47,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.18181818181818182,11,2863993.21,Lower,False,Risk Off,False,,,,,0.3949754475849473,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,764950,INE390D01011,TERAI,EQ,,,,,TERAI TEA CO. LTD.,130.0,130.0,130.0,130.0,130.0,130.7,,130.0,,,1,130.0,1,F1,1,,,,,,Cash Only,Unclassified,False,130.0,130.0,130.0,130.0,130.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.14285714285714285,14,23524.074999999997,Lower,False,Risk Off,False,,,,,0.005526253423354585,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,762944,INE077P01034,THACKER,EQ,,,,,THACKER & CO. LTD.,1017.0,1017.0,1017.0,1017.0,1017.0,1016.0,,1017.0,,,7,7119.0,1,F1,1,,,,,,Cash Only,Unclassified,False,1017.0,1017.0,1017.0,1017.0,1017.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.078125,32,52113.8,Lower,True,Risk Off,False,151.55714285714288,,,0.0,0.13660489160260814,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-08,2026-09-08,CM,NSE,STK,764823,INE883C01025,PACIFICI,EQ,,,,,PACIFIC INDUSTRIES LTD.,140.0,140.0,140.0,140.0,140.0,140.0,,139.7,,,4,560.0,2,F1,1,,,,,,Cash Only,Unclassified,False,140.0,140.0,140.0,140.0,140.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.058823529411764705,17,55467.09,Lower,False,Risk Off,False,10.69785714285714,,,0.0,0.010096076790760071,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
