SYMBOL,Industry,CLOSE,Pivot,BC,TC,CPR_Width_Pct,Width_Rank_Pct,Overlay,Setup,Own_Narrow,Bias,Price_Position,Segment,Confluence_Score,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation
VOGL,Unclassified,34.37,34.51666666666667,34.59,34.44333333333334,0.4267287363010218,0.2,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4267% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.35x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
TEMPSENS,Unclassified,531.05,533.4,534.575,532.2249999999999,0.4425195367668085,0.25,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.4425% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.47x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GAJA,Unclassified,142.26,143.00666666666666,143.38,142.63333333333333,0.5248605839074018,0.13636363636363635,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5249% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.38x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
GAUDIUMIVF,Unclassified,115.22,115.90000000000002,116.24000000000001,115.56000000000003,0.5901753167852616,0.19444444444444445,Lower,Short,True,Bearish,Below CPR,Cash Only,-2,Short,72,Confirmed,CPR width: 0.5902% (12/20); Price location: Below CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: light (0.48x) (4/20); Higher timeframe: aligned (-2) (16/20),Standard CPR,Not applicable,Not applicable,Standard CPR; Wide CPR rules not applied
