TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,History_OK,Regime,Own_Narrow,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-11,2026-09-11,CM,NSE,STK,11080,INE534A01028,GFSTEELS,EQ,,,,,GRAND FOUNDRY LTD,20.95,20.95,20.95,20.95,20.95,19.96,,19.78,,,2228,46676.6,12,F1,1,,,,,,Cash Only,Unclassified,False,20.95,20.95,20.95,20.95,20.95,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.625,4,52058.03,Higher,False,Risk Off,False,,,,,0.8966263225865443,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,14346,INE998H01012,ORIENTALTL,EQ,,,,,ORIENTAL TRIMEX LTD,5.03,5.14,5.0,5.07,5.09,5.09,,5.08,,,65353,330501.02,271,F1,1,,,,,,Cash Only,Unclassified,False,5.07,5.07,5.07,5.07,5.07,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.03333333333333333,60,372034.885,Lower,True,Risk Off,False,0.27499999999999986,5.2288,5.8527,0.0,0.8883602944922759,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,765090,INE398L01017,KANCOTEA,EQ,,,,,KANCO TEA & INDS. LTD.,52.29,52.29,52.29,52.29,52.29,52.29,,52.29,,,1,52.29,1,F1,1,,,,,,Cash Only,Unclassified,False,52.29,52.29,52.29,52.29,52.29,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.05,20,11700.175,Lower,True,Risk Off,False,2.913571428571428,,,0.0,0.004469163922761839,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,13745,INE221H01019,GTLINFRA,EQ,,,,,GTL INFRA.LTD,1.17,1.17,1.15,1.16,1.17,1.16,,1.16,,,19959792,23183532.15,9426,F1,1,,,,,,Cash Only,Unclassified,False,1.16,1.16,1.16,1.16,1.16,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.05,60,43521098.92,Lower,True,Risk Off,False,0.032142857142857174,1.2288,1.306,0.0,0.532696386932134,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,18119,INE559N01010,SRGHFL,EQ,,,,,SRG HOUSING FINANCE L,156.0,156.0,156.0,156.0,156.0,195.0,,155.88,,,11743,1831908.0,213,F1,1,,,,,,Cash Only,Unclassified,False,156.0,156.0,156.0,156.0,156.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,586801.425,Lower,True,Risk Off,False,14.657142857142855,277.30100000000004,282.3544,0.0,3.1218533595074347,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,18967,INE542Z01028,KAPSTON,EQ,,,,,KAPSTON SERVICES LIMITED,584.95,597.85,578.55,588.2,589.65,584.95,,588.2,,,63762,37434329.5,2572,F1,1,,,,,,Cash Only,Unclassified,False,588.2,588.2,588.2,588.2,588.2,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.016666666666666666,60,21203526.225,Higher,True,Risk Off,False,24.10714285714287,501.23400000000004,423.994,0.0,1.7654766052951647,True,True,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,759062,INE0KKN01029,RHETAN,EQ,,,,,RHETAN TMT LIMITED,24.01,24.01,24.01,24.01,24.01,25.27,,24.04,,,72250,1734722.5,550,F1,1,,,,,,Cash Only,Unclassified,False,24.01,24.01,24.01,24.01,24.01,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,241641207.595,Lower,True,Risk Off,False,1.5271428571428574,26.3054,27.3145,0.0,0.007178918352814484,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,764648,INE823B01015,COMPEAU,EQ,,,,,COMPETENT AUTOMOB CO. L,363.0,363.0,361.0,362.0,362.0,360.0,,362.0,,,885,320400.0,17,F1,1,,,,,,Cash Only,Unclassified,False,362.0,362.0,362.0,362.0,362.0,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.05,20,350386.175,Higher,True,Risk Off,False,16.425,,,0.0,0.9144196399872228,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,25756,INE806A01020,VIKASECO,EQ,,,,,VIKAS ECOTECH LIMITED,1.06,1.06,1.04,1.05,1.06,1.05,,1.05,,,1426919,1501228.05,961,F1,1,,,,,,Cash Only,Unclassified,False,1.05,1.05,1.05,1.05,1.05,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.08333333333333333,60,2088991.885,Lower,True,Risk Off,False,0.03285714285714284,1.1144,1.1946,0.0,0.718637569049245,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-11,2026-09-11,CM,NSE,STK,28952,INE741L01018,DUCON,EQ,,,,,DUCON INFRATECHNOLOGIES L,1.81,1.81,1.75,1.78,1.78,1.78,,1.78,,,760655,1357797.98,531,F1,1,,,,,,Cash Only,Unclassified,False,1.78,1.78,1.78,1.78,1.78,0.0,0.0,Narrow,Neutral,Inside CPR,False,False,0.025,60,1668132.855,Lower,True,Risk Off,False,0.22928571428571423,2.8226,3.048,0.0,0.8139627344010318,False,False,No setup,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
