# Sample NSE Symbols for CPR Screening
# One symbol per line. Use .NS suffix for NSE equities.
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
BHARTIARTL.NS
ITC.NS
KOTAKBANK.NS
LT.NS
AXISBANK.NS
ASIANPAINT.NS
MARUTI.NS
TITAN.NS
BAJFINANCE.NS
HINDUNILVR.NS
WIPRO.NS
ULTRACEMCO.NS
NESTLEIND.NS
BAJAJFINSV.NS
